date,staff_id,reason,old_asset_model,old_asset_serial_number,replaced_asset_model,replaced_asset_serial_number,hostname,issue,remarks
2024-08-28,583258726,breakfix,JBL Wireless Headset,WH-E1BCCBEF54,JBL Wireless Headset,WH-EB44D75E76,HOST-3034,hardware,Physical damage
2025-08-09,180346223,breakfix,HP Book 2.0 Model,LAP-7012B6B2E5,HP Book 2.0 Model,LAP-75870295E2,HOST-6286,hardware,Physical damage
2024-08-11,356165519,transfer,HP Book 2.0 Model,LAP-7FAA5B9091,HP Book 2.0 Model,LAP-18E1F716D4,HOST-2292,software,Performance issue
2024-04-14,685967190,new joiner,JBL Wireless Headset,WH-5ACE12F0BF,JBL Wireless Headset,WH-4511BFFE2B,HOST-5496,hardware,Physical damage
2024-05-05,399240862,new joiner,Dell Laptop X12 Model,LAP-1126DFE453,Dell Laptop X12 Model,LAP-F362EEBEFD,HOST-2530,hardware,User requested replacement
2024-06-09,282518553,breakfix,Dell Laptop X12 Model,LAP-89D91AE951,Dell Laptop X12 Model,LAP-E8F001D0C7,HOST-3804,software,User requested replacement
2025-12-13,450811990,breakfix,Dell Laptop X12 Model,LAP-076111D9B9,Dell Laptop X12 Model,LAP-93EBFA0540,HOST-2330,hardware,User requested replacement
2025-04-28,508732434,new joiner,JBL Wireless Headset,WH-C8F83DF85F,JBL Wireless Headset,WH-D658B6AEB4,HOST-4453,software,User requested replacement
2024-04-10,937009907,breakfix,Wireless Headset Cushion,WH-97AB494C06,Wireless Headset Cushion,WH-39C74ED2B1,HOST-9159,software,Physical damage
2024-09-17,286237999,breakfix,HP Book 2.0 Model,LAP-1161686AA4,HP Book 2.0 Model,LAP-54853F83BF,HOST-7653,software,OS corruption
2025-11-11,104994458,new joiner,HP Book 2.0 Model,LAP-EDDE0B180A,HP Book 2.0 Model,LAP-B114FD3957,HOST-1981,hardware,OS corruption
2024-11-25,827120114,transfer,HP Book 2.0 Model,LAP-8C6B56ABE9,HP Book 2.0 Model,LAP-3BBCACDED6,HOST-8609,hardware,Physical damage
2024-05-13,188506190,breakfix,Dell Laptop X12 Model,LAP-C2110D4632,Dell Laptop X12 Model,LAP-352CA49AC4,HOST-6121,software,Physical damage
2024-12-12,282088279,breakfix,Wireless Headset Cushion,WH-C5C21412A0,Wireless Headset Cushion,WH-99E8F47404,HOST-7070,hardware,Physical damage
2025-05-22,322434334,transfer,Dell Laptop X12 Model,LAP-AE72BCCD78,Dell Laptop X12 Model,LAP-418C3F3953,HOST-3007,software,OS corruption
2025-05-16,281980870,breakfix,Dell Laptop X12 Model,LAP-46924BEA2B,Dell Laptop X12 Model,LAP-753A8739DA,HOST-2586,hardware,Physical damage
2024-12-27,178649475,new joiner,Wireless Headset Cushion,WH-38EBDF948F,Wireless Headset Cushion,WH-43E655BD7B,HOST-7850,hardware,Performance issue
2025-02-23,197209076,new joiner,Dell Laptop X12 Model,LAP-349122B216,Dell Laptop X12 Model,LAP-2D67376A5F,HOST-6123,hardware,Performance issue
2024-09-01,819307302,new joiner,HP Book 2.0 Model,LAP-662577543F,HP Book 2.0 Model,LAP-08E8388F53,HOST-8648,software,Physical damage
2024-09-02,819421270,breakfix,Dell Laptop X12 Model,LAP-D8BD7D655A,Dell Laptop X12 Model,LAP-CB4831D94A,HOST-2475,software,User requested replacement
2024-10-13,661695439,breakfix,Dell Laptop X12 Model,LAP-205776F797,Dell Laptop X12 Model,LAP-1DCBFDD54F,HOST-4524,software,Device not powering on
2025-12-04,873309842,transfer,Dell Laptop X12 Model,LAP-B7AF60E13F,Dell Laptop X12 Model,LAP-79D8F24E9E,HOST-9108,software,Physical damage
2024-07-24,786688228,breakfix,Wireless Headset Cushion,WH-E6AC05A667,Wireless Headset Cushion,WH-1DAF9E391F,HOST-2761,software,Performance issue
2025-04-29,915313588,new joiner,JBL Wireless Headset,WH-4D83FCAA33,JBL Wireless Headset,WH-4150E25D5B,HOST-6992,software,Physical damage
2025-12-09,197231642,transfer,HP Book 2.0 Model,LAP-F0BB46AE3A,HP Book 2.0 Model,LAP-C867BADDDF,HOST-1838,hardware,Physical damage
2024-07-07,382492880,transfer,Dell Laptop X12 Model,LAP-EE29DCAF1F,Dell Laptop X12 Model,LAP-C2159521AE,HOST-2204,software,User requested replacement
2024-10-20,504982743,new joiner,Wireless Headset Cushion,WH-AF7E83F04F,Wireless Headset Cushion,WH-0F703ED74A,HOST-5582,hardware,Performance issue
2025-10-17,753910715,transfer,Wireless Headset Cushion,WH-A99ECA60D2,Wireless Headset Cushion,WH-38757724A7,HOST-7114,software,User requested replacement
2025-01-15,761962359,breakfix,HP Book 2.0 Model,LAP-F883D69F27,HP Book 2.0 Model,LAP-F046EB3A32,HOST-4261,software,User requested replacement
2025-12-14,560662565,breakfix,JBL Wireless Headset,WH-F0019AABFE,JBL Wireless Headset,WH-88368C15C3,HOST-1637,hardware,Physical damage
2024-09-26,336696312,new joiner,Wireless Headset Cushion,WH-A4D7647319,Wireless Headset Cushion,WH-F103D96304,HOST-8487,hardware,User requested replacement
2024-08-15,396618390,breakfix,Dell Laptop X12 Model,LAP-41D9A99471,Dell Laptop X12 Model,LAP-A7733DF23C,HOST-6373,software,Performance issue
2024-12-18,759091699,new joiner,Wireless Headset Cushion,WH-5EDD4C8328,Wireless Headset Cushion,WH-715F52130D,HOST-5902,software,User requested replacement
2024-08-21,901179178,new joiner,HP Book 2.0 Model,LAP-E6C68AEC21,HP Book 2.0 Model,LAP-FF205B6118,HOST-9025,software,OS corruption
2026-01-07,618045811,transfer,Dell Laptop X12 Model,LAP-5048BF2297,Dell Laptop X12 Model,LAP-4F4CF403FF,HOST-6427,hardware,OS corruption
2024-06-06,596043327,transfer,Dell Laptop X12 Model,LAP-F747C19126,Dell Laptop X12 Model,LAP-E43DF484E9,HOST-1436,software,Physical damage
2024-03-24,926224353,new joiner,Wireless Headset Cushion,WH-90673A1F37,Wireless Headset Cushion,WH-85873F473D,HOST-4728,hardware,User requested replacement
2024-09-20,497864507,breakfix,HP Book 2.0 Model,LAP-969C20F3BF,HP Book 2.0 Model,LAP-39CC78F889,HOST-9589,software,Performance issue
2024-02-27,760146764,breakfix,HP Book 2.0 Model,LAP-447860C7C2,HP Book 2.0 Model,LAP-3F682D02AF,HOST-1517,hardware,Performance issue
2026-01-05,780352629,transfer,HP Book 2.0 Model,LAP-BF4A48B89A,HP Book 2.0 Model,LAP-83DF80BCE2,HOST-6139,software,Performance issue
2024-11-28,799506796,new joiner,JBL Wireless Headset,WH-9EEAABEB63,JBL Wireless Headset,WH-91104AABA5,HOST-4340,software,User requested replacement
2024-05-08,307511166,transfer,Wireless Headset Cushion,WH-05B8D4644A,Wireless Headset Cushion,WH-0409D5F20B,HOST-2020,hardware,User requested replacement
2025-06-26,278933456,new joiner,Dell Laptop X12 Model,LAP-348FB6A0AC,Dell Laptop X12 Model,LAP-F2CF621B73,HOST-6325,software,User requested replacement
2025-01-04,244467442,transfer,JBL Wireless Headset,WH-F6D0EFF8FE,JBL Wireless Headset,WH-C3FC9D838C,HOST-3837,software,User requested replacement
2025-02-08,477863798,new joiner,HP Book 2.0 Model,LAP-B4D4B4F9AA,HP Book 2.0 Model,LAP-8AACF6E306,HOST-6804,software,User requested replacement
2024-09-16,410088282,breakfix,Dell Laptop X12 Model,LAP-B1237B42D2,Dell Laptop X12 Model,LAP-1DCBFDD54F,HOST-5038,software,User requested replacement
2025-03-25,149861842,breakfix,Dell Laptop X12 Model,LAP-92494D5B5B,Dell Laptop X12 Model,LAP-D247CCEB87,HOST-5876,software,Performance issue
2024-02-18,434702822,new joiner,JBL Wireless Headset,WH-3CCBA3EDB9,JBL Wireless Headset,WH-816AA29BE8,HOST-9011,software,OS corruption
2025-02-01,714933740,new joiner,JBL Wireless Headset,WH-4E41D11228,JBL Wireless Headset,WH-026F90ADAA,HOST-5480,software,Device not powering on
2024-06-16,789014168,new joiner,Dell Laptop X12 Model,LAP-8C42F4E3A6,Dell Laptop X12 Model,LAP-E4DFE6C35A,HOST-9899,software,OS corruption
2025-02-05,510391769,breakfix,JBL Wireless Headset,WH-EEBC8F6B1C,JBL Wireless Headset,WH-D06B66FCC9,HOST-5758,hardware,Physical damage
2025-11-05,984428681,transfer,HP Book 2.0 Model,LAP-449946EFE4,HP Book 2.0 Model,LAP-BECCEF238A,HOST-8247,software,OS corruption
2025-06-19,423821937,breakfix,Wireless Headset Cushion,WH-2E3D782752,Wireless Headset Cushion,WH-060D43719F,HOST-9824,software,User requested replacement
2024-02-12,609490977,transfer,JBL Wireless Headset,WH-189587F6FF,JBL Wireless Headset,WH-A362818F86,HOST-3249,hardware,User requested replacement
2024-06-03,889382867,breakfix,HP Book 2.0 Model,LAP-590C06A6F1,HP Book 2.0 Model,LAP-D737B8250C,HOST-4972,hardware,User requested replacement
2025-06-07,551478978,new joiner,HP Book 2.0 Model,LAP-AB4D1297D2,HP Book 2.0 Model,LAP-8F7FA3D6B3,HOST-4814,hardware,Device not powering on
2024-11-27,284021712,transfer,Dell Laptop X12 Model,LAP-6754852B94,Dell Laptop X12 Model,LAP-CC64AA2D6C,HOST-8739,hardware,Performance issue
2026-01-19,485195859,new joiner,Wireless Headset Cushion,WH-E7EE803787,Wireless Headset Cushion,WH-C08B45B540,HOST-3587,software,OS corruption
2024-09-23,964048388,new joiner,Wireless Headset Cushion,WH-7821786467,Wireless Headset Cushion,WH-E3866EAB1D,HOST-4267,software,Physical damage
2025-04-07,135328023,new joiner,HP Book 2.0 Model,LAP-9F0E943F23,HP Book 2.0 Model,LAP-A842C8E84C,HOST-1969,hardware,User requested replacement
2025-06-01,714097318,new joiner,HP Book 2.0 Model,LAP-ABDB132618,HP Book 2.0 Model,LAP-446212B6AD,HOST-1611,hardware,OS corruption
2025-07-28,275913951,breakfix,JBL Wireless Headset,WH-6D31B8F167,JBL Wireless Headset,WH-7888444876,HOST-7504,software,Performance issue
2025-04-03,483298103,breakfix,Dell Laptop X12 Model,LAP-A1A3B48BAD,Dell Laptop X12 Model,LAP-E9FE743B12,HOST-1151,software,User requested replacement
2024-05-17,356691289,breakfix,Dell Laptop X12 Model,LAP-D712AE495E,Dell Laptop X12 Model,LAP-3122291EF0,HOST-6489,software,OS corruption
2024-04-08,552922001,new joiner,HP Book 2.0 Model,LAP-F582917FE5,HP Book 2.0 Model,LAP-498207B86D,HOST-9590,software,Performance issue
2024-08-26,249117905,transfer,HP Book 2.0 Model,LAP-462A114B18,HP Book 2.0 Model,LAP-E61182316F,HOST-5470,hardware,Device not powering on
2025-02-20,501387022,breakfix,Wireless Headset Cushion,WH-65819A2995,Wireless Headset Cushion,WH-15E4D0D025,HOST-8518,software,Performance issue
2026-01-10,231680929,new joiner,HP Book 2.0 Model,LAP-DA06C3A5B9,HP Book 2.0 Model,LAP-5B11204333,HOST-6523,software,User requested replacement
2024-03-05,122394554,breakfix,Wireless Headset Cushion,WH-5643889B67,Wireless Headset Cushion,WH-64C4E435C9,HOST-3875,software,OS corruption
2024-08-15,834868441,transfer,Dell Laptop X12 Model,LAP-A01E479050,Dell Laptop X12 Model,LAP-7315795575,HOST-2421,software,Device not powering on
2025-07-19,650632566,breakfix,Dell Laptop X12 Model,LAP-52D9541C7D,Dell Laptop X12 Model,LAP-F8F1179154,HOST-8822,software,Performance issue
2026-01-18,760268760,transfer,HP Book 2.0 Model,LAP-FA86DFE1C0,HP Book 2.0 Model,LAP-10F261B29B,HOST-7284,hardware,OS corruption
2025-04-26,193133974,transfer,HP Book 2.0 Model,LAP-9596A4EEEA,HP Book 2.0 Model,LAP-9C95D45070,HOST-5947,hardware,Physical damage
2024-03-26,383975609,transfer,HP Book 2.0 Model,LAP-E93D61E24F,HP Book 2.0 Model,LAP-333E738A2A,HOST-4871,hardware,Device not powering on
2024-10-05,730651895,transfer,JBL Wireless Headset,WH-0CEFB579C6,JBL Wireless Headset,WH-33E0B00FDD,HOST-3616,software,User requested replacement
2024-02-04,103237836,transfer,Wireless Headset Cushion,WH-C8D97A9B8A,Wireless Headset Cushion,WH-C382F8A384,HOST-2923,software,Physical damage
2024-05-05,500346767,breakfix,JBL Wireless Headset,WH-D6ADBFDB88,JBL Wireless Headset,WH-84F8844F6D,HOST-4590,hardware,OS corruption
2025-08-21,843937341,transfer,HP Book 2.0 Model,LAP-1452663651,HP Book 2.0 Model,LAP-5141BB660A,HOST-7121,software,User requested replacement
2024-09-29,975652436,new joiner,HP Book 2.0 Model,LAP-8B2F3C2C6C,HP Book 2.0 Model,LAP-8A6CF33FF8,HOST-4578,hardware,User requested replacement
2025-11-02,581331845,new joiner,Wireless Headset Cushion,WH-83B952E742,Wireless Headset Cushion,WH-39FA17A683,HOST-8319,software,Device not powering on
2024-06-26,549431487,breakfix,JBL Wireless Headset,WH-BFC5680577,JBL Wireless Headset,WH-8E62A8E99B,HOST-2011,hardware,User requested replacement
2024-07-24,781802744,breakfix,Dell Laptop X12 Model,LAP-EC7A562116,Dell Laptop X12 Model,LAP-7B5BE22067,HOST-3695,software,User requested replacement
2024-10-29,269820594,breakfix,HP Book 2.0 Model,LAP-893F81EF6E,HP Book 2.0 Model,LAP-4F16BDC525,HOST-4365,software,Device not powering on
2024-08-20,975535611,transfer,HP Book 2.0 Model,LAP-73952D0FB9,HP Book 2.0 Model,LAP-793E5A2242,HOST-1911,software,Performance issue
2024-08-17,902874167,transfer,Dell Laptop X12 Model,LAP-4D3A358781,Dell Laptop X12 Model,LAP-FF20F34E52,HOST-8484,hardware,User requested replacement
2024-10-08,926610534,new joiner,JBL Wireless Headset,WH-69F7E5CCA4,JBL Wireless Headset,WH-9041411EEA,HOST-6049,hardware,OS corruption
2025-05-09,644830077,breakfix,HP Book 2.0 Model,LAP-8D37F219F6,HP Book 2.0 Model,LAP-917FC3030E,HOST-4570,hardware,Device not powering on
2024-11-17,538134097,transfer,Dell Laptop X12 Model,LAP-544FDEA356,Dell Laptop X12 Model,LAP-F4839EE515,HOST-2044,hardware,Device not powering on
2024-09-28,750009892,breakfix,Wireless Headset Cushion,WH-A1A8C97262,Wireless Headset Cushion,WH-9F33CD93B6,HOST-5703,software,Performance issue
2025-09-08,802046257,new joiner,Wireless Headset Cushion,WH-F4267BC90A,Wireless Headset Cushion,WH-A6C4442E99,HOST-7887,software,OS corruption
2024-10-22,104994458,transfer,Wireless Headset Cushion,WH-918E551F87,Wireless Headset Cushion,WH-DF87DACEA3,HOST-7154,hardware,User requested replacement
2025-09-10,246574716,new joiner,Wireless Headset Cushion,WH-9BFA04368D,Wireless Headset Cushion,WH-3E29C77666,HOST-6697,hardware,Performance issue
2024-07-23,528348505,transfer,Dell Laptop X12 Model,LAP-7C29B47B96,Dell Laptop X12 Model,LAP-C8B8306966,HOST-9664,hardware,Performance issue
2026-01-21,828960875,breakfix,HP Book 2.0 Model,LAP-AEBA04E390,HP Book 2.0 Model,LAP-57C4D0410A,HOST-5888,software,User requested replacement
2024-11-16,331557515,new joiner,JBL Wireless Headset,WH-1F3423EBE0,JBL Wireless Headset,WH-A466DEF114,HOST-7214,hardware,Performance issue
2024-10-10,463247548,transfer,Dell Laptop X12 Model,LAP-9C5718E271,Dell Laptop X12 Model,LAP-D094051705,HOST-3541,software,Performance issue
2025-10-01,922653967,breakfix,Wireless Headset Cushion,WH-4BC4127DDD,Wireless Headset Cushion,WH-C418D42686,HOST-7868,hardware,Performance issue
2025-06-27,925284826,breakfix,Dell Laptop X12 Model,LAP-BF4AFE7885,Dell Laptop X12 Model,LAP-A25E032B09,HOST-2653,hardware,OS corruption
2024-05-22,332078427,new joiner,HP Book 2.0 Model,LAP-5C43C4BC7E,HP Book 2.0 Model,LAP-655E18BF4A,HOST-1797,hardware,Device not powering on
2024-12-09,153292024,transfer,Dell Laptop X12 Model,LAP-A3DB9E1D42,Dell Laptop X12 Model,LAP-5CFE71941F,HOST-4839,hardware,Device not powering on
2025-09-03,396225446,new joiner,Dell Laptop X12 Model,LAP-F4F9177477,Dell Laptop X12 Model,LAP-E78CEB5DA3,HOST-5739,hardware,User requested replacement
2025-03-04,432098383,new joiner,HP Book 2.0 Model,LAP-15D5E47DDF,HP Book 2.0 Model,LAP-6A2C3C62C3,HOST-6253,hardware,Physical damage
2025-08-31,219778234,new joiner,Wireless Headset Cushion,WH-474C6EB7A9,Wireless Headset Cushion,WH-E4B780D63D,HOST-9540,hardware,OS corruption
2025-03-23,977501292,transfer,HP Book 2.0 Model,LAP-F9B7E5556A,HP Book 2.0 Model,LAP-862D5267FE,HOST-1998,hardware,OS corruption
2024-07-04,948239575,transfer,Wireless Headset Cushion,WH-253B60A1C3,Wireless Headset Cushion,WH-C8F99073F0,HOST-1768,software,OS corruption
2024-08-05,443527737,transfer,Dell Laptop X12 Model,LAP-FFA81ECAF2,Dell Laptop X12 Model,LAP-B73161D801,HOST-7821,software,Performance issue
2025-03-23,533744956,transfer,JBL Wireless Headset,WH-31365E2B14,JBL Wireless Headset,WH-89228BF448,HOST-4012,software,Performance issue
2025-06-08,602866993,transfer,JBL Wireless Headset,WH-93866A811F,JBL Wireless Headset,WH-BDB8E3AB1B,HOST-3365,software,Device not powering on
2024-06-28,512477736,transfer,Dell Laptop X12 Model,LAP-F53E3D71E7,Dell Laptop X12 Model,LAP-882B60EDD8,HOST-7824,hardware,OS corruption
2025-05-21,651131533,transfer,Wireless Headset Cushion,WH-B38B34AD3A,Wireless Headset Cushion,WH-5148EBDC03,HOST-4331,software,Device not powering on
2024-10-21,861863296,transfer,Dell Laptop X12 Model,LAP-B5C2A59263,Dell Laptop X12 Model,LAP-EC0A391722,HOST-2514,hardware,Device not powering on
2025-04-25,466034277,transfer,Dell Laptop X12 Model,LAP-AC3FB80D9E,Dell Laptop X12 Model,LAP-BAEDCCE7D6,HOST-1647,hardware,Performance issue
2024-06-02,193053577,new joiner,HP Book 2.0 Model,LAP-9555F5A31A,HP Book 2.0 Model,LAP-7B8A86AFAA,HOST-4555,software,Performance issue
2025-02-18,389758574,transfer,Dell Laptop X12 Model,LAP-38E3D57F8C,Dell Laptop X12 Model,LAP-6E4E7D768A,HOST-1251,hardware,Performance issue
2025-09-26,851019450,new joiner,Dell Laptop X12 Model,LAP-2A3C2FEF45,Dell Laptop X12 Model,LAP-E9DAB403E7,HOST-8846,hardware,User requested replacement
2024-02-04,500414366,breakfix,Lenovo Laptop 324 Model,LAP-880D8CE1CB,Lenovo Laptop 324 Model,LAP-F923FE1F87,HOST-7498,hardware,User requested replacement
2025-03-01,550791704,transfer,JBL Wireless Headset,WH-4D99CF1649,JBL Wireless Headset,WH-75C4E35E8A,HOST-7236,software,User requested replacement
2024-03-31,563626557,transfer,JBL Wireless Headset,WH-F499EC2DF2,JBL Wireless Headset,WH-79A21A96DE,HOST-6053,software,Physical damage
2024-08-17,973120912,transfer,HP Book 2.0 Model,LAP-DF04804854,HP Book 2.0 Model,LAP-939E639CDC,HOST-8635,hardware,OS corruption
2025-03-03,569319938,breakfix,Wireless Headset Cushion,WH-B2A7D5A7A9,Wireless Headset Cushion,WH-72B7895AA7,HOST-7073,software,OS corruption
2025-12-09,162795957,new joiner,JBL Wireless Headset,WH-20C28D2916,JBL Wireless Headset,WH-F041E0E317,HOST-4625,hardware,Device not powering on
2025-05-02,753278884,new joiner,HP Book 2.0 Model,LAP-CCF824522D,HP Book 2.0 Model,LAP-AC5CBD9A1C,HOST-7841,software,Performance issue
2025-07-08,812630453,transfer,HP Book 2.0 Model,LAP-51F461A7AD,HP Book 2.0 Model,LAP-3A1BB5B85E,HOST-4768,software,User requested replacement
2025-05-18,749762955,transfer,Dell Laptop X12 Model,LAP-5214DADBFD,Dell Laptop X12 Model,LAP-98A2A57F5E,HOST-6530,software,OS corruption
2024-04-07,536398872,new joiner,HP Book 2.0 Model,LAP-F8DDEEADCC,HP Book 2.0 Model,LAP-06F25FC89E,HOST-9037,software,Performance issue
2025-01-29,713476544,breakfix,Wireless Headset Cushion,WH-74CFE53E9B,Wireless Headset Cushion,WH-6B40157559,HOST-3293,software,Performance issue
2024-07-18,708857885,new joiner,JBL Wireless Headset,WH-4C10AE426E,JBL Wireless Headset,WH-31B42C5C59,HOST-1962,hardware,Device not powering on
2024-03-11,981867712,breakfix,Dell Laptop X12 Model,LAP-6E8143A8CE,Dell Laptop X12 Model,LAP-8C5564A613,HOST-1104,software,Performance issue
2024-04-19,657054862,breakfix,JBL Wireless Headset,WH-35743233AE,JBL Wireless Headset,WH-06D6974B2B,HOST-2113,hardware,Device not powering on
2025-06-15,371379423,new joiner,HP Book 2.0 Model,LAP-4FD8065410,HP Book 2.0 Model,LAP-6344A7DCDC,HOST-8471,software,Device not powering on
2024-05-02,281445989,new joiner,Dell Laptop X12 Model,LAP-2D894F4077,Dell Laptop X12 Model,LAP-C158C89B75,HOST-8916,software,Device not powering on
2026-01-18,710045960,new joiner,HP Book 2.0 Model,LAP-CA7109CF19,HP Book 2.0 Model,LAP-78AD027AD5,HOST-7739,hardware,Device not powering on
2024-07-31,386156035,new joiner,JBL Wireless Headset,WH-ACBF4D93F9,JBL Wireless Headset,WH-977071E902,HOST-5501,software,Device not powering on
2024-08-28,309517616,new joiner,HP Book 2.0 Model,LAP-CC3DF1EF9C,HP Book 2.0 Model,LAP-34F86BBDE3,HOST-8054,hardware,Device not powering on
2025-10-18,178374393,new joiner,Wireless Headset Cushion,WH-451BCDEBD5,Wireless Headset Cushion,WH-B0577B9C70,HOST-3439,hardware,Performance issue
2024-04-30,386665729,new joiner,HP Book 2.0 Model,LAP-61B35E526B,HP Book 2.0 Model,LAP-09C5CE8C55,HOST-5135,software,Physical damage
2024-12-14,836243579,breakfix,Dell Laptop X12 Model,LAP-41957CF49B,Dell Laptop X12 Model,LAP-656FBECF56,HOST-7112,software,OS corruption
2024-06-25,780388507,breakfix,Dell Laptop X12 Model,LAP-BE1C778A7D,Dell Laptop X12 Model,LAP-B472640886,HOST-4700,software,Device not powering on
2024-03-26,797468922,new joiner,HP Book 2.0 Model,LAP-966DBCC5DF,HP Book 2.0 Model,LAP-BEA64EF3D3,HOST-1519,hardware,OS corruption
2025-01-01,879685499,transfer,JBL Wireless Headset,WH-F08B6D7B31,JBL Wireless Headset,WH-A81D340DD8,HOST-8798,hardware,Device not powering on
2024-02-05,686405096,breakfix,JBL Wireless Headset,WH-BE27D09783,JBL Wireless Headset,WH-06BD835119,HOST-2354,software,OS corruption
2024-04-04,427059567,transfer,HP Book 2.0 Model,LAP-4604EA2A12,HP Book 2.0 Model,LAP-C3A1890934,HOST-2562,hardware,Performance issue
2025-06-22,710561240,new joiner,Dell Laptop X12 Model,LAP-D9FF22CD30,Dell Laptop X12 Model,LAP-007D5D8311,HOST-8790,software,Device not powering on
2025-11-09,287364857,new joiner,JBL Wireless Headset,WH-5408617FFA,JBL Wireless Headset,WH-C206CC4982,HOST-5593,hardware,Performance issue
2025-03-08,293274031,breakfix,HP Book 2.0 Model,LAP-CC536F91DD,HP Book 2.0 Model,LAP-A060AB882F,HOST-4394,hardware,OS corruption
2025-11-07,576363024,transfer,Wireless Headset Cushion,WH-722E9C18B8,Wireless Headset Cushion,WH-91ACB854BF,HOST-3661,hardware,User requested replacement
2024-12-22,706496928,new joiner,Wireless Headset Cushion,WH-42A5015E9B,Wireless Headset Cushion,WH-50D1DDAA9E,HOST-9856,software,OS corruption
2025-09-03,882576281,new joiner,JBL Wireless Headset,WH-A4C9AC39CD,JBL Wireless Headset,WH-E8BE0788ED,HOST-2284,software,Device not powering on
2025-10-16,153312407,transfer,Dell Laptop X12 Model,LAP-BCA5867B90,Dell Laptop X12 Model,LAP-D94B8CDA64,HOST-4803,hardware,Physical damage
2024-05-15,652348887,new joiner,HP Book 2.0 Model,LAP-0C2A1A8507,HP Book 2.0 Model,LAP-0C939FED3D,HOST-7499,software,Device not powering on
2024-04-15,507245006,transfer,Wireless Headset Cushion,WH-C8B6CC8E69,Wireless Headset Cushion,WH-6B4D99C6FE,HOST-8381,software,Performance issue
2025-01-25,496776692,new joiner,Dell Laptop X12 Model,LAP-512616ABE1,Dell Laptop X12 Model,LAP-25E92129CB,HOST-7150,software,Performance issue
2024-02-28,293274031,new joiner,HP Book 2.0 Model,LAP-CC536F91DD,HP Book 2.0 Model,LAP-D82D9D73C1,HOST-7227,hardware,User requested replacement
2025-03-28,977358886,breakfix,HP Book 2.0 Model,LAP-89D3526424,HP Book 2.0 Model,LAP-1D5E623FEE,HOST-2204,hardware,Physical damage
2025-08-20,197939109,transfer,Dell Laptop X12 Model,LAP-894FFC4B63,Dell Laptop X12 Model,LAP-E18D99C305,HOST-3527,software,Physical damage
2025-01-20,423410784,breakfix,Wireless Headset Cushion,WH-111E3C234C,Wireless Headset Cushion,WH-0FDB28E04B,HOST-2499,hardware,Physical damage
2024-10-26,469919929,transfer,Wireless Headset Cushion,WH-74B91C2ED4,Wireless Headset Cushion,WH-207B7757E8,HOST-5419,hardware,Performance issue
2025-10-27,228250953,breakfix,HP Book 2.0 Model,LAP-8AE1485A62,HP Book 2.0 Model,LAP-EA38FE4DEF,HOST-8061,software,User requested replacement
2024-07-05,468365044,new joiner,Dell Laptop X12 Model,LAP-F6A15C3AEF,Dell Laptop X12 Model,LAP-44768EF6A7,HOST-7685,hardware,Device not powering on
2025-10-25,529979713,transfer,Wireless Headset Cushion,WH-48DB5BADD6,Wireless Headset Cushion,WH-98736EB48A,HOST-2524,software,OS corruption
2026-01-12,656952733,transfer,HP Book 2.0 Model,LAP-E3AFD3ED74,HP Book 2.0 Model,LAP-402C68218A,HOST-7779,software,Device not powering on
2024-07-01,595279737,breakfix,Dell Laptop X12 Model,LAP-FB407BAF9B,Dell Laptop X12 Model,LAP-09DB077A2E,HOST-9537,hardware,OS corruption
2025-08-04,458153605,breakfix,Wireless Headset Cushion,WH-4728F9C045,Wireless Headset Cushion,WH-19FA455D98,HOST-5405,software,Physical damage
2024-09-07,176248559,breakfix,Dell Laptop X12 Model,LAP-FF9607AD6D,Dell Laptop X12 Model,LAP-6B4A986691,HOST-2036,hardware,OS corruption
2025-04-17,477356707,transfer,Wireless Headset Cushion,WH-E19EB04E0B,Wireless Headset Cushion,WH-26824CFB50,HOST-5911,software,Device not powering on
2025-01-20,327114760,transfer,HP Book 2.0 Model,LAP-0C0705B7CD,HP Book 2.0 Model,LAP-A1E8FA10FD,HOST-5040,software,User requested replacement
2024-05-03,362204999,breakfix,Dell Laptop X12 Model,LAP-AA50837D49,Dell Laptop X12 Model,LAP-D0CF26D3CA,HOST-8501,hardware,Performance issue
2025-03-19,421455482,breakfix,HP Book 2.0 Model,LAP-1439D50A73,HP Book 2.0 Model,LAP-9692F1E5B7,HOST-7483,software,User requested replacement
2024-12-31,108253947,transfer,JBL Wireless Headset,WH-3853F7CF03,JBL Wireless Headset,WH-E6C15EFD12,HOST-8212,software,OS corruption
2024-03-29,673833903,new joiner,HP Book 2.0 Model,LAP-4E45B9BA37,HP Book 2.0 Model,LAP-7F1F1C5A92,HOST-3230,software,Physical damage
2024-05-17,527322429,new joiner,JBL Wireless Headset,WH-3AAB15A555,JBL Wireless Headset,WH-BDF3E9F376,HOST-4290,software,Physical damage
2025-07-27,331191390,transfer,HP Book 2.0 Model,LAP-1CDFB962E6,HP Book 2.0 Model,LAP-4A720A5D37,HOST-6228,software,OS corruption
2024-06-14,685864775,breakfix,HP Book 2.0 Model,LAP-8B1813D5E5,HP Book 2.0 Model,LAP-C950D73276,HOST-6339,software,Physical damage
2024-12-18,570746273,transfer,JBL Wireless Headset,WH-FF3CC36EC2,JBL Wireless Headset,WH-80F43588AE,HOST-2865,hardware,User requested replacement
2024-07-15,505013519,breakfix,Dell Laptop X12 Model,LAP-215962060D,Dell Laptop X12 Model,LAP-44FE6A18CF,HOST-1440,software,Performance issue
