laptop_serial_number,laptop_model,status,end_of_life
LAP-26C659C8E5,HP Book 2.0 Model,issued,no
LAP-383CE7E18A,HP Book 2.0 Model,issued,yes
LAP-B10A31F4A8,Dell Laptop X12 Model,issued,n/a
LAP-897E028C51,HP Book 2.0 Model,issued,
LAP-AD827646FE,HP Book 2.0 Model,issued,yes
LAP-0E9BE56FBA,HP Book 2.0 Model,issued,no
LAP-DE824253E7,HP Book 2.0 Model,issued,yes
LAP-B582D15810,HP Book 2.0 Model,issued,
LAP-822BB09CFF,HP Book 2.0 Model,issued,
LAP-1AD8743D23,HP Book 2.0 Model,issued,yes
LAP-D8482CC95A,HP Book 2.0 Model,issued,n/a
LAP-B147DB3F16,HP Book 2.0 Model,issued,no
LAP-3A7E55056F,Dell Laptop X12 Model,issued,no
LAP-696E2C905E,HP Book 2.0 Model,issued,
LAP-FCC1A50135,HP Book 2.0 Model,issued,yes
LAP-2F48296ACB,HP Book 2.0 Model,issued,yes
LAP-C9E4373DD2,Dell Laptop X12 Model,issued,no
LAP-1F74DBA30B,HP Book 2.0 Model,issued,no
LAP-E1D948FCEE,HP Book 2.0 Model,issued,no
LAP-0C801AF270,HP Book 2.0 Model,issued,no
LAP-B7E215B372,Dell Laptop X12 Model,issued,n/a
LAP-61100C7A48,HP Book 2.0 Model,issued,
LAP-AECA100400,HP Book 2.0 Model,issued,no
LAP-8E8D8EA482,HP Book 2.0 Model,issued,n/a
LAP-DCC6927290,HP Book 2.0 Model,issued,n/a
LAP-348AE29697,HP Book 2.0 Model,issued,n/a
LAP-87F6D622EB,HP Book 2.0 Model,issued,
LAP-F992B6E2FA,HP Book 2.0 Model,issued,yes
LAP-7B24AB0C15,Dell Laptop X12 Model,issued,
LAP-860F5F0B04,Dell Laptop X12 Model,issued,no
LAP-F8DDEEADCC,HP Book 2.0 Model,issued,no
LAP-6858B3F703,Dell Laptop X12 Model,issued,yes
LAP-DB4BF81926,HP Book 2.0 Model,issued,no
LAP-048A99F85F,Dell Laptop X12 Model,issued,
LAP-8163BB5F19,HP Book 2.0 Model,issued,yes
LAP-D464A016B0,Dell Laptop X12 Model,issued,yes
LAP-F606C0DD7E,Dell Laptop X12 Model,issued,no
LAP-149FF21CBA,HP Book 2.0 Model,issued,n/a
LAP-C08FA1387C,HP Book 2.0 Model,issued,yes
LAP-1247FF7153,HP Book 2.0 Model,issued,
LAP-B33A4C7C32,HP Book 2.0 Model,issued,yes
LAP-B8574406C4,Dell Laptop X12 Model,issued,
LAP-E88A385A7E,HP Book 2.0 Model,issued,n/a
LAP-3896663990,Dell Laptop X12 Model,issued,no
LAP-4B8A033E8B,Dell Laptop X12 Model,issued,n/a
LAP-75B8E77422,HP Book 2.0 Model,issued,no
LAP-DDCC1165BF,HP Book 2.0 Model,issued,yes
LAP-3AEE8AACB7,HP Book 2.0 Model,issued,n/a
LAP-C278AAF068,HP Book 2.0 Model,issued,n/a
LAP-42FA64B675,HP Book 2.0 Model,issued,n/a
LAP-AC7B5F43FA,HP Book 2.0 Model,issued,yes
LAP-1F4D276541,Dell Laptop X12 Model,issued,yes
LAP-119F70411F,HP Book 2.0 Model,issued,no
LAP-1A938A3BA3,HP Book 2.0 Model,issued,
LAP-DC7F648A4D,HP Book 2.0 Model,issued,n/a
LAP-083A822968,HP Book 2.0 Model,issued,
LAP-F5967F96F5,HP Book 2.0 Model,issued,n/a
LAP-9E7C235BC1,Dell Laptop X12 Model,issued,
LAP-563A634F0D,Dell Laptop X12 Model,issued,no
LAP-935413AB6F,HP Book 2.0 Model,issued,yes
LAP-8292BA8C69,HP Book 2.0 Model,issued,
LAP-E4C8280C44,HP Book 2.0 Model,issued,yes
LAP-9555F5A31A,HP Book 2.0 Model,issued,n/a
LAP-528E5F45E7,HP Book 2.0 Model,issued,n/a
LAP-F563D6A47C,Dell Laptop X12 Model,issued,
LAP-807C52561A,Dell Laptop X12 Model,issued,
LAP-672F4462FE,Dell Laptop X12 Model,issued,no
LAP-8928A636CF,Dell Laptop X12 Model,issued,
LAP-BE1543E3D2,HP Book 2.0 Model,issued,n/a
LAP-DFC3A13579,HP Book 2.0 Model,issued,n/a
LAP-4BF2882D30,Dell Laptop X12 Model,issued,n/a
LAP-A33DD829CD,HP Book 2.0 Model,issued,yes
LAP-B31B9B4A88,HP Book 2.0 Model,issued,
LAP-4CDBB692F1,Dell Laptop X12 Model,issued,
LAP-AE255C0C86,Dell Laptop X12 Model,issued,n/a
LAP-DF3155F18D,HP Book 2.0 Model,issued,yes
LAP-CF8E61475F,HP Book 2.0 Model,issued,yes
LAP-7DE693F13D,Dell Laptop X12 Model,issued,no
LAP-E10C4AD0A2,Dell Laptop X12 Model,issued,yes
LAP-A5C55EC456,HP Book 2.0 Model,issued,no
LAP-82EC1FA5B8,HP Book 2.0 Model,issued,yes
LAP-E733242AC9,HP Book 2.0 Model,issued,n/a
LAP-1C2F520659,HP Book 2.0 Model,issued,
LAP-0D2F5EB161,HP Book 2.0 Model,issued,no
LAP-E8CFF6DC7D,Dell Laptop X12 Model,issued,
LAP-AAB8108460,Dell Laptop X12 Model,issued,yes
LAP-D8893FFE97,HP Book 2.0 Model,issued,no
LAP-E8EF8AD052,HP Book 2.0 Model,issued,
LAP-CC2CA14DF9,HP Book 2.0 Model,issued,
LAP-D71B8898F6,HP Book 2.0 Model,issued,yes
LAP-AD96576280,Dell Laptop X12 Model,issued,n/a
LAP-36CDC15C36,Dell Laptop X12 Model,issued,
LAP-0E187928D9,HP Book 2.0 Model,issued,
LAP-8F1E98D2BC,Dell Laptop X12 Model,issued,
LAP-7EF9C67E70,HP Book 2.0 Model,issued,yes
LAP-E8E0111C10,HP Book 2.0 Model,issued,yes
LAP-D3439CC4EB,Dell Laptop X12 Model,issued,no
LAP-C28CFC85C4,HP Book 2.0 Model,issued,yes
LAP-A4B194C0B3,Dell Laptop X12 Model,issued,
LAP-0C618F538F,Dell Laptop X12 Model,issued,
LAP-6BAD3E9102,HP Book 2.0 Model,issued,no
LAP-0BE2D9D1AE,HP Book 2.0 Model,issued,
LAP-793283FD39,Dell Laptop X12 Model,issued,n/a
LAP-87445F28D9,Dell Laptop X12 Model,issued,yes
LAP-7E3195E10F,HP Book 2.0 Model,issued,n/a
LAP-648031735E,Dell Laptop X12 Model,issued,n/a
LAP-BAABF1EE83,Dell Laptop X12 Model,issued,
LAP-83254FF158,HP Book 2.0 Model,issued,no
LAP-075DCFE43D,Dell Laptop X12 Model,issued,
LAP-84CF584175,Dell Laptop X12 Model,issued,yes
LAP-AADB7DE607,Dell Laptop X12 Model,issued,n/a
LAP-B4915FF4EC,Dell Laptop X12 Model,issued,
LAP-8425810D49,HP Book 2.0 Model,issued,yes
LAP-C87298C10F,Dell Laptop X12 Model,issued,no
LAP-B1D911EF90,Dell Laptop X12 Model,issued,
LAP-92822AB72C,Dell Laptop X12 Model,issued,no
LAP-FF07BE4B21,HP Book 2.0 Model,issued,no
LAP-F424231DF5,Dell Laptop X12 Model,issued,n/a
LAP-98D09DD80E,HP Book 2.0 Model,issued,yes
LAP-589D9580D3,HP Book 2.0 Model,issued,
LAP-B0AF3507DB,HP Book 2.0 Model,issued,yes
LAP-336B2373E6,Dell Laptop X12 Model,issued,n/a
LAP-0123B228DD,HP Book 2.0 Model,issued,
LAP-C8C0A37972,Dell Laptop X12 Model,issued,
LAP-D003132878,HP Book 2.0 Model,issued,no
LAP-010A685A69,Dell Laptop X12 Model,issued,yes
LAP-769FE157CC,HP Book 2.0 Model,issued,no
LAP-C5288839DA,HP Book 2.0 Model,issued,yes
LAP-2CAE76B9E4,HP Book 2.0 Model,issued,
LAP-4179DA1826,HP Book 2.0 Model,issued,n/a
LAP-D5562496BE,HP Book 2.0 Model,issued,n/a
LAP-5236CA81F4,HP Book 2.0 Model,issued,no
LAP-3A77C58939,Dell Laptop X12 Model,issued,yes
LAP-DB159D6376,Dell Laptop X12 Model,issued,no
LAP-BD2B711603,HP Book 2.0 Model,issued,yes
LAP-C4A08A0956,Dell Laptop X12 Model,issued,n/a
LAP-20EB6EE8F3,Dell Laptop X12 Model,issued,
LAP-06A2F60C91,HP Book 2.0 Model,issued,yes
LAP-3D716199FC,HP Book 2.0 Model,issued,n/a
LAP-98393FA820,HP Book 2.0 Model,issued,
LAP-6A87F23D17,HP Book 2.0 Model,issued,
LAP-73B5E42B91,HP Book 2.0 Model,issued,no
LAP-324F214FFD,HP Book 2.0 Model,issued,n/a
LAP-06D450D33A,Dell Laptop X12 Model,issued,no
LAP-EEF181A37F,HP Book 2.0 Model,issued,yes
LAP-AF5A3EB9F5,Dell Laptop X12 Model,issued,yes
LAP-A408B725A2,Dell Laptop X12 Model,issued,
LAP-8CE706CF9E,HP Book 2.0 Model,issued,n/a
LAP-660C4CA1EB,Dell Laptop X12 Model,issued,n/a
LAP-BDB6106F06,HP Book 2.0 Model,issued,no
LAP-F6A9726075,HP Book 2.0 Model,issued,no
LAP-038195EA2A,HP Book 2.0 Model,issued,n/a
LAP-75817A7BC3,HP Book 2.0 Model,issued,
LAP-539268BDE2,HP Book 2.0 Model,issued,
LAP-917255F797,HP Book 2.0 Model,issued,
LAP-B982AC2D64,Dell Laptop X12 Model,issued,no
LAP-800EAA1157,HP Book 2.0 Model,issued,
LAP-67786A6422,HP Book 2.0 Model,issued,n/a
LAP-0098765C6D,HP Book 2.0 Model,issued,
LAP-513982CB02,Dell Laptop X12 Model,issued,yes
LAP-100775F002,HP Book 2.0 Model,issued,no
LAP-DB46DB705D,HP Book 2.0 Model,issued,yes
LAP-BDDBBFB02C,HP Book 2.0 Model,issued,no
LAP-65F28AE422,Dell Laptop X12 Model,issued,n/a
LAP-61A28C15D2,HP Book 2.0 Model,issued,n/a
LAP-B315BCD5CD,HP Book 2.0 Model,issued,yes
LAP-A8A933A052,Dell Laptop X12 Model,issued,no
LAP-0F610C8F93,HP Book 2.0 Model,issued,
LAP-2456C405F2,HP Book 2.0 Model,issued,no
LAP-60D226BE8B,HP Book 2.0 Model,issued,
LAP-BBF8ED990E,Dell Laptop X12 Model,issued,n/a
LAP-B9B1C421C5,HP Book 2.0 Model,issued,yes
LAP-1E89659366,HP Book 2.0 Model,issued,
LAP-6597E16257,HP Book 2.0 Model,issued,n/a
LAP-641D07A372,HP Book 2.0 Model,issued,yes
LAP-08D6313116,Dell Laptop X12 Model,issued,
LAP-2D8D802A32,HP Book 2.0 Model,issued,no
LAP-9F9F2FD8D4,HP Book 2.0 Model,issued,
LAP-D585B1E6CC,HP Book 2.0 Model,issued,yes
LAP-45F4921618,HP Book 2.0 Model,issued,yes
LAP-E2D7B2A47C,HP Book 2.0 Model,issued,no
LAP-22472C81B6,Dell Laptop X12 Model,issued,no
LAP-F9098DBD38,HP Book 2.0 Model,issued,
LAP-53A61D9298,HP Book 2.0 Model,issued,no
LAP-DD10DB2189,HP Book 2.0 Model,issued,
LAP-45DBA5A4A2,Dell Laptop X12 Model,issued,no
LAP-D5F34207E9,HP Book 2.0 Model,issued,n/a
LAP-91FB740D06,Dell Laptop X12 Model,issued,no
LAP-C0FBF0DB56,HP Book 2.0 Model,issued,no
LAP-11E7BC8EE4,Dell Laptop X12 Model,issued,yes
LAP-CCC3C32E4A,HP Book 2.0 Model,issued,n/a
LAP-E7F33AF048,Dell Laptop X12 Model,issued,n/a
LAP-625F86A37F,HP Book 2.0 Model,issued,yes
LAP-E9C0B4D4E4,Dell Laptop X12 Model,issued,n/a
LAP-A2E37A45BB,Dell Laptop X12 Model,issued,n/a
LAP-76D4A1B0F8,Dell Laptop X12 Model,issued,yes
LAP-E0A2969EFE,HP Book 2.0 Model,issued,
LAP-97D8F30E63,HP Book 2.0 Model,issued,
LAP-498207B86D,HP Book 2.0 Model,issued,
LAP-4C2F4AA65C,HP Book 2.0 Model,issued,
LAP-1DD4AD74E0,HP Book 2.0 Model,issued,n/a
LAP-9A33102060,Dell Laptop X12 Model,issued,n/a
LAP-1544486F8B,Dell Laptop X12 Model,issued,
LAP-955F4F8467,HP Book 2.0 Model,issued,n/a
LAP-3ABA942540,HP Book 2.0 Model,issued,yes
LAP-04C8ADBB76,HP Book 2.0 Model,issued,no
LAP-03D17B9C7C,HP Book 2.0 Model,issued,
LAP-88A3C0E1A7,Dell Laptop X12 Model,issued,
LAP-FBA976CBE7,HP Book 2.0 Model,issued,n/a
LAP-C8661BF039,Dell Laptop X12 Model,issued,no
LAP-F456C2FB53,HP Book 2.0 Model,issued,no
LAP-A55E6A0163,HP Book 2.0 Model,issued,
LAP-E9A39CDC19,Dell Laptop X12 Model,issued,
LAP-DED77CFF90,Dell Laptop X12 Model,issued,n/a
LAP-267A827476,HP Book 2.0 Model,issued,
LAP-6DA0F2CF5E,Dell Laptop X12 Model,issued,n/a
LAP-99A5F85EA6,HP Book 2.0 Model,issued,yes
LAP-9A2A98E5B2,Dell Laptop X12 Model,issued,yes
LAP-380E0F5727,HP Book 2.0 Model,issued,yes
LAP-A3EE223344,HP Book 2.0 Model,issued,yes
LAP-2509736107,Dell Laptop X12 Model,issued,yes
LAP-B840870563,Dell Laptop X12 Model,issued,
LAP-127AE0B749,HP Book 2.0 Model,issued,yes
LAP-450C08DF59,HP Book 2.0 Model,issued,
LAP-B9B880E1F9,Dell Laptop X12 Model,issued,yes
LAP-074D09CC25,Dell Laptop X12 Model,issued,
LAP-854F6D2626,HP Book 2.0 Model,issued,yes
LAP-6768354B10,Dell Laptop X12 Model,issued,n/a
LAP-2C6294499B,Dell Laptop X12 Model,issued,
LAP-EC3AE21863,HP Book 2.0 Model,issued,no
LAP-D0793F82DE,HP Book 2.0 Model,issued,no
LAP-0A516389F6,HP Book 2.0 Model,issued,
LAP-D1A62FA239,HP Book 2.0 Model,issued,
LAP-8EC96FA20D,HP Book 2.0 Model,issued,yes
LAP-1875667C95,Dell Laptop X12 Model,issued,no
LAP-C6AE756118,HP Book 2.0 Model,issued,
LAP-877FDB41E1,HP Book 2.0 Model,issued,yes
LAP-4A78445DA4,HP Book 2.0 Model,issued,n/a
LAP-63E2FE61C7,Dell Laptop X12 Model,issued,
LAP-44BB91784B,HP Book 2.0 Model,issued,
LAP-CCA594AAEC,Dell Laptop X12 Model,issued,
LAP-CAAA0F49AC,HP Book 2.0 Model,issued,yes
LAP-1079F511A0,HP Book 2.0 Model,issued,n/a
LAP-0371502798,Dell Laptop X12 Model,issued,no
LAP-171AF53861,Dell Laptop X12 Model,issued,n/a
LAP-53E0621864,HP Book 2.0 Model,issued,n/a
LAP-95ACE24A45,HP Book 2.0 Model,issued,n/a
LAP-1C547EF012,HP Book 2.0 Model,issued,n/a
LAP-FAECB2C069,Dell Laptop X12 Model,issued,
LAP-A76A35F66F,HP Book 2.0 Model,issued,no
LAP-8818AB896D,HP Book 2.0 Model,issued,yes
LAP-34A7ED8D12,HP Book 2.0 Model,issued,
LAP-E207E628EB,HP Book 2.0 Model,issued,yes
LAP-FA01651ECC,Dell Laptop X12 Model,issued,yes
LAP-801F25C34B,Dell Laptop X12 Model,issued,yes
LAP-1657B58E80,HP Book 2.0 Model,issued,no
LAP-FB6608C234,HP Book 2.0 Model,issued,n/a
LAP-0CB4B5BEAA,HP Book 2.0 Model,issued,n/a
LAP-479752C2B8,HP Book 2.0 Model,issued,n/a
LAP-89034D9D6B,Dell Laptop X12 Model,issued,no
LAP-CB9026913E,Dell Laptop X12 Model,issued,
LAP-30CBA1848C,HP Book 2.0 Model,issued,no
LAP-776869B9D8,Dell Laptop X12 Model,issued,
LAP-E88E9EBD26,HP Book 2.0 Model,issued,no
LAP-611CD59864,Dell Laptop X12 Model,issued,
LAP-261F29D181,Dell Laptop X12 Model,issued,yes
LAP-3C5D3B486D,HP Book 2.0 Model,issued,
LAP-75B1C4CC40,HP Book 2.0 Model,issued,no
LAP-A853BEA212,HP Book 2.0 Model,issued,
LAP-ECE0247007,HP Book 2.0 Model,issued,no
LAP-8DDB8DB08F,HP Book 2.0 Model,issued,
LAP-6FBEDE922A,HP Book 2.0 Model,issued,n/a
LAP-09A9987087,HP Book 2.0 Model,issued,no
LAP-4B76BF1C74,Dell Laptop X12 Model,issued,
LAP-42E74CF218,HP Book 2.0 Model,issued,no
LAP-F1F86E738E,HP Book 2.0 Model,issued,yes
LAP-C3A7CC797C,HP Book 2.0 Model,issued,no
LAP-A3939C33C6,HP Book 2.0 Model,issued,yes
LAP-183F01ADAB,HP Book 2.0 Model,issued,
LAP-A22F98FF15,HP Book 2.0 Model,issued,n/a
LAP-0710C2E4D1,HP Book 2.0 Model,issued,no
LAP-8C7A97ED72,HP Book 2.0 Model,issued,n/a
LAP-66FBC51430,HP Book 2.0 Model,issued,no
LAP-E431F79A60,HP Book 2.0 Model,issued,yes
LAP-FB7F50AAF9,HP Book 2.0 Model,issued,yes
LAP-3144952F7A,HP Book 2.0 Model,issued,yes
LAP-3204AC59F3,HP Book 2.0 Model,issued,
LAP-B3EDF3B49A,Dell Laptop X12 Model,issued,yes
LAP-9C5A8881CD,HP Book 2.0 Model,issued,no
LAP-C2CD65ABCF,Dell Laptop X12 Model,issued,yes
LAP-8230FE00C8,HP Book 2.0 Model,issued,yes
LAP-85889D7C95,HP Book 2.0 Model,issued,
LAP-378458F0D5,HP Book 2.0 Model,issued,yes
LAP-6917851AD9,HP Book 2.0 Model,issued,no
LAP-9328AD78F5,HP Book 2.0 Model,issued,
LAP-42AC3DD268,HP Book 2.0 Model,issued,n/a
LAP-EF87561189,Dell Laptop X12 Model,issued,no
LAP-BECCEF238A,HP Book 2.0 Model,issued,no
LAP-2E8C074549,HP Book 2.0 Model,issued,no
LAP-FE347FCA72,HP Book 2.0 Model,issued,n/a
LAP-D8CF4EBBDB,HP Book 2.0 Model,issued,no
LAP-8BEADD0B0C,HP Book 2.0 Model,issued,no
LAP-256B4365EA,HP Book 2.0 Model,issued,
LAP-793243FA70,HP Book 2.0 Model,issued,n/a
LAP-FB27997160,HP Book 2.0 Model,issued,yes
LAP-F540E9A865,HP Book 2.0 Model,issued,n/a
LAP-955C07895E,HP Book 2.0 Model,issued,yes
LAP-7F81A0B43D,HP Book 2.0 Model,issued,no
LAP-F8B64DEBD3,Dell Laptop X12 Model,issued,yes
LAP-F00F3BAA29,HP Book 2.0 Model,issued,yes
LAP-E0506C2DD6,HP Book 2.0 Model,issued,yes
LAP-903E4D8924,HP Book 2.0 Model,issued,
LAP-8CB56E4960,Dell Laptop X12 Model,issued,yes
LAP-D39F18852E,Dell Laptop X12 Model,issued,yes
LAP-F1FBFEED37,Dell Laptop X12 Model,issued,no
LAP-1566BD5298,HP Book 2.0 Model,issued,n/a
LAP-D6EA13FDDE,HP Book 2.0 Model,issued,n/a
LAP-DEAB8CF1EB,HP Book 2.0 Model,issued,no
LAP-805B66C45A,HP Book 2.0 Model,issued,yes
LAP-B472CE48E2,HP Book 2.0 Model,issued,yes
LAP-09DD00AEB5,HP Book 2.0 Model,issued,
LAP-03E6E9D934,Dell Laptop X12 Model,issued,n/a
LAP-A242897F0C,Dell Laptop X12 Model,issued,no
LAP-F15C58FEB2,HP Book 2.0 Model,issued,
LAP-5C4F15D8AE,Dell Laptop X12 Model,issued,yes
LAP-BA4F551811,HP Book 2.0 Model,issued,
LAP-26761546CC,HP Book 2.0 Model,issued,yes
LAP-B648CB8DD4,HP Book 2.0 Model,issued,
LAP-976CDC56F7,Dell Laptop X12 Model,issued,yes
LAP-A467A62D6C,HP Book 2.0 Model,issued,
LAP-152D62AA30,HP Book 2.0 Model,issued,yes
LAP-72764A550D,Dell Laptop X12 Model,issued,no
LAP-855D18CA6B,HP Book 2.0 Model,issued,
LAP-C680C4C259,HP Book 2.0 Model,issued,
LAP-C25CB87494,HP Book 2.0 Model,issued,n/a
LAP-8CDEAF9839,Dell Laptop X12 Model,issued,
LAP-D8E58B32AC,HP Book 2.0 Model,issued,no
LAP-6CF5D4B1C5,HP Book 2.0 Model,issued,no
LAP-D5DD73AB52,HP Book 2.0 Model,issued,n/a
LAP-9AAB093309,Dell Laptop X12 Model,issued,yes
LAP-F9523BEFFE,Dell Laptop X12 Model,issued,no
LAP-C737514C02,HP Book 2.0 Model,issued,yes
LAP-55249FF529,Dell Laptop X12 Model,issued,yes
LAP-26D102E92A,Dell Laptop X12 Model,issued,n/a
LAP-0CA1E374EE,HP Book 2.0 Model,issued,n/a
LAP-3372199BE1,HP Book 2.0 Model,issued,
LAP-FFC3C0F844,HP Book 2.0 Model,issued,yes
LAP-A6B6FF3012,HP Book 2.0 Model,issued,no
LAP-A8EB122F64,HP Book 2.0 Model,issued,n/a
LAP-D87E0F214E,Dell Laptop X12 Model,issued,yes
LAP-9A253FA3D3,HP Book 2.0 Model,issued,no
LAP-0DF566875E,HP Book 2.0 Model,issued,yes
LAP-F563B94B85,HP Book 2.0 Model,issued,yes
LAP-E221A3F1CF,Dell Laptop X12 Model,issued,no
LAP-D84750D7D3,Dell Laptop X12 Model,issued,no
LAP-0CD0B72D99,Dell Laptop X12 Model,issued,n/a
LAP-63A3ABDEF4,HP Book 2.0 Model,issued,yes
LAP-910010C5FF,Dell Laptop X12 Model,issued,no
LAP-68E7CE7287,Dell Laptop X12 Model,issued,yes
LAP-28453775DD,HP Book 2.0 Model,issued,n/a
LAP-11C12F83EC,Dell Laptop X12 Model,issued,no
LAP-209F66E7F4,HP Book 2.0 Model,issued,no
LAP-29E7923A1B,HP Book 2.0 Model,issued,yes
LAP-236D5F901D,HP Book 2.0 Model,issued,no
LAP-4A5DC5515D,HP Book 2.0 Model,issued,n/a
LAP-EC2FE68398,HP Book 2.0 Model,issued,n/a
LAP-9F23FBD244,HP Book 2.0 Model,issued,
LAP-F934531AC6,HP Book 2.0 Model,issued,no
LAP-9635D78C2C,HP Book 2.0 Model,issued,yes
LAP-EB65543B03,HP Book 2.0 Model,issued,n/a
LAP-62BEFEE4AF,HP Book 2.0 Model,issued,n/a
LAP-12BABBF9FF,HP Book 2.0 Model,issued,
LAP-C93E995369,Dell Laptop X12 Model,issued,
LAP-16693B9A15,HP Book 2.0 Model,issued,
LAP-8DC46C721A,HP Book 2.0 Model,issued,
LAP-966B71BB02,Dell Laptop X12 Model,issued,no
LAP-F119AD150B,Dell Laptop X12 Model,issued,n/a
LAP-2CE41C2CF0,Dell Laptop X12 Model,issued,no
LAP-AD364D59EB,Dell Laptop X12 Model,issued,no
LAP-8D3AEAB1E4,HP Book 2.0 Model,issued,n/a
LAP-0DBBF78B21,Dell Laptop X12 Model,issued,
LAP-C95C5A1B0B,HP Book 2.0 Model,issued,yes
LAP-BAA469753F,HP Book 2.0 Model,issued,n/a
LAP-B9BFCAC645,HP Book 2.0 Model,issued,no
LAP-E9D82FEA6A,HP Book 2.0 Model,issued,no
LAP-FB43FE27C9,HP Book 2.0 Model,issued,
LAP-4378ABDBA1,Dell Laptop X12 Model,issued,
LAP-F370D66EB9,HP Book 2.0 Model,issued,
LAP-1EEDA66586,HP Book 2.0 Model,issued,
LAP-329148A17C,Dell Laptop X12 Model,issued,n/a
LAP-AE276BAA56,HP Book 2.0 Model,issued,n/a
LAP-E718353BCE,HP Book 2.0 Model,issued,yes
LAP-07534FA69A,HP Book 2.0 Model,issued,
LAP-0B4B446201,Dell Laptop X12 Model,issued,
LAP-7765CFD250,HP Book 2.0 Model,issued,no
LAP-07EB665CEC,HP Book 2.0 Model,issued,n/a
LAP-B555C27E10,HP Book 2.0 Model,issued,n/a
LAP-B82A48A8E5,HP Book 2.0 Model,issued,yes
LAP-E6A4D1968C,Dell Laptop X12 Model,issued,
LAP-338C4C541A,HP Book 2.0 Model,issued,no
LAP-20CC503020,HP Book 2.0 Model,issued,yes
LAP-462C43DBCC,Dell Laptop X12 Model,issued,n/a
LAP-010147D120,HP Book 2.0 Model,issued,
LAP-430306AA75,HP Book 2.0 Model,issued,n/a
LAP-B3008A76A8,HP Book 2.0 Model,issued,n/a
LAP-0973886936,Dell Laptop X12 Model,issued,
LAP-F027A18DBE,HP Book 2.0 Model,issued,yes
LAP-94412791A5,HP Book 2.0 Model,issued,yes
LAP-2C1921D63A,Dell Laptop X12 Model,issued,no
LAP-C49438AE50,HP Book 2.0 Model,issued,n/a
LAP-AE3185E3D4,HP Book 2.0 Model,issued,
LAP-C45D4BACC5,HP Book 2.0 Model,issued,no
LAP-8534ACAABA,HP Book 2.0 Model,issued,n/a
LAP-5DFD1631D5,HP Book 2.0 Model,issued,no
LAP-6E381C332B,Dell Laptop X12 Model,issued,yes
LAP-36A380DEEC,Dell Laptop X12 Model,issued,no
LAP-74E4596DD3,HP Book 2.0 Model,issued,n/a
LAP-37EE7EECF6,Dell Laptop X12 Model,issued,n/a
LAP-AD1C03F62C,Dell Laptop X12 Model,issued,no
LAP-4F032AA1CA,HP Book 2.0 Model,issued,n/a
LAP-DA368D837B,HP Book 2.0 Model,issued,yes
LAP-A92A00FF18,Dell Laptop X12 Model,issued,yes
LAP-EFCA801A6B,Dell Laptop X12 Model,issued,n/a
LAP-50AE6E3A53,HP Book 2.0 Model,issued,yes
LAP-8BB85751CE,HP Book 2.0 Model,issued,n/a
LAP-BEA64EF3D3,HP Book 2.0 Model,issued,no
LAP-CB322F9629,HP Book 2.0 Model,issued,
LAP-E198835162,HP Book 2.0 Model,issued,n/a
LAP-1854504889,HP Book 2.0 Model,issued,no
LAP-2E348B77B9,HP Book 2.0 Model,issued,yes
LAP-8F3CC422B8,Dell Laptop X12 Model,issued,
LAP-0CAD3DC59E,HP Book 2.0 Model,issued,n/a
LAP-91CB095FDA,HP Book 2.0 Model,issued,no
LAP-B7F840E97E,Dell Laptop X12 Model,issued,no
LAP-1391011CD8,Dell Laptop X12 Model,issued,yes
LAP-2E3B7BE779,HP Book 2.0 Model,issued,n/a
LAP-B82C69EED2,Dell Laptop X12 Model,issued,yes
LAP-219F8CAD5D,Dell Laptop X12 Model,issued,
LAP-6F89E8F51B,HP Book 2.0 Model,issued,
LAP-252D5FFBD9,Dell Laptop X12 Model,issued,n/a
LAP-1284D22A76,HP Book 2.0 Model,issued,n/a
LAP-A604CFC473,HP Book 2.0 Model,issued,no
LAP-D067E4F770,HP Book 2.0 Model,issued,no
LAP-700D1B11F7,HP Book 2.0 Model,issued,yes
LAP-7C47976A78,HP Book 2.0 Model,issued,
LAP-B5CB838491,HP Book 2.0 Model,issued,
LAP-AAAA2896E7,Dell Laptop X12 Model,issued,yes
LAP-A2A1126F60,HP Book 2.0 Model,issued,n/a
LAP-D8F81056DD,HP Book 2.0 Model,issued,
LAP-B741006DB1,HP Book 2.0 Model,issued,yes
LAP-D8727CA70C,HP Book 2.0 Model,issued,yes
LAP-AFF20055F3,HP Book 2.0 Model,issued,
LAP-D624901354,Dell Laptop X12 Model,issued,no
LAP-B6A2F0A113,Dell Laptop X12 Model,issued,n/a
LAP-789180863F,HP Book 2.0 Model,issued,
LAP-F27AA20A01,Dell Laptop X12 Model,issued,no
LAP-A1F4432FA4,HP Book 2.0 Model,issued,yes
LAP-ABDAE95D6E,Dell Laptop X12 Model,issued,n/a
LAP-4DFA63852C,HP Book 2.0 Model,issued,yes
LAP-8A7F58A199,Dell Laptop X12 Model,issued,yes
LAP-E96233D2F0,HP Book 2.0 Model,issued,
LAP-66977D8DF4,HP Book 2.0 Model,issued,n/a
LAP-7392B65C0A,Dell Laptop X12 Model,issued,no
LAP-1300B74C4E,HP Book 2.0 Model,issued,
LAP-0337105CA7,Dell Laptop X12 Model,issued,yes
LAP-823D0F8EE2,HP Book 2.0 Model,issued,yes
LAP-CC52B9E635,HP Book 2.0 Model,issued,n/a
LAP-AC207F4291,HP Book 2.0 Model,issued,yes
LAP-88F21225D4,HP Book 2.0 Model,issued,yes
LAP-F786C370AB,HP Book 2.0 Model,issued,
LAP-851BEAD05A,HP Book 2.0 Model,issued,yes
